Sun Sep 13 05:35:43 Mongo DB : starting : pid = 3215 port = 27017 dbpath = data master = 0 slave = 0  32-bit 

** NOTE: when using MongoDB 32 bit, you are limited to about 2 gigabytes of data
**       see http://blog.mongodb.org/post/137788967/32-bit-limitations for more

Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:21 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:22 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:23 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:24 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:25 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:26 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:27 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:28 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:29 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:30 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:31 allocating new datafile data/netbeams.1, filling with zeroes...
Sun Sep 13 05:38:33 done allocating datafile data/netbeams.1, size: 134217728, took 2.241 secs
Sun Sep 13 05:38:31 newExtent: netbeams.SondeDataContainer file 0 full, adding a new file
Sun Sep 13 05:38:31 insert netbeams.SondeDataContainer 2244ms
Sun Sep 13 05:38:33 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:33 allocating new datafile data/netbeams.2, filling with zeroes...
Sun Sep 13 05:38:33 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:34 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:34 insert netbeams.SondeDataContainer 947ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 235ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 129ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:35 insert netbeams.SondeDataContainer 303ms
