Sat Sep 12 16:27:58 Mongo DB : starting : pid = 3588 port = 27017 dbpath = persistence/data master = 0 slave = 0  32-bit 

** NOTE: when using MongoDB 32 bit, you are limited to about 2 gigabytes of data
**       see http://blog.mongodb.org/post/137788967/32-bit-limitations for more

Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:41 insert netbeams.ysi 0ms
Sat Sep 12 16:33:42 insert netbeams.ysi 0ms
Sat Sep 12 16:33:42 insert netbeams.ysi 0ms
Sat Sep 12 16:33:42 insert netbeams.ysi 0ms
Sat Sep 12 16:33:42 insert netbeams.ysi 0ms
Sat Sep 12 16:33:42 newExtent: netbeams.ysi file 0 full, adding a new file
Sat Sep 12 16:33:42 allocating new datafile persistence/data/netbeams.1, filling with zeroes...
Sat Sep 12 16:33:43 done allocating datafile persistence/data/netbeams.1, size: 134217728, took 1.492 secs
Sat Sep 12 16:33:42 insert netbeams.ysi 1489ms
Sat Sep 12 16:33:43 insert netbeams.ysi 0ms
Sat Sep 12 16:33:43 allocating new datafile persistence/data/netbeams.2, filling with zeroes...
Sat Sep 12 16:33:43 insert netbeams.ysi 265ms
Sat Sep 12 16:33:44 insert netbeams.ysi 0ms
Sat Sep 12 16:33:44 insert netbeams.ysi 0ms
Sat Sep 12 16:33:44 insert netbeams.ysi 0ms
Sat Sep 12 16:33:44 insert netbeams.ysi 344ms
Sat Sep 12 16:33:44 insert netbeams.ysi 0ms
Sat Sep 12 16:33:44 insert netbeams.ysi 0ms
Sat Sep 12 16:33:44 insert netbeams.ysi 0ms
Sat Sep 12 16:33:44 insert netbeams.ysi 307ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 196ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 0ms
Sat Sep 12 16:33:45 insert netbeams.ysi 714ms
Sat Sep 12 16:33:46 insert netbeams.ysi 0ms
Sat Sep 12 16:33:46 insert netbeams.ysi 0ms
Sat Sep 12 16:33:46 insert netbeams.ysi 0ms
Sat Sep 12 16:33:46 insert netbeams.ysi 0ms
Sat Sep 12 16:33:46 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:47 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 466ms
Sat Sep 12 16:33:48 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 0ms
Sat Sep 12 16:33:48 insert netbeams.ysi 671ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:49 insert netbeams.ysi 0ms
Sat Sep 12 16:33:50 insert netbeams.ysi 0ms
Sat Sep 12 16:33:50 insert netbeams.ysi 0ms
Sat Sep 12 16:33:50 insert netbeams.ysi 0ms
Sat Sep 12 16:33:50 insert netbeams.ysi 130ms
Sat Sep 12 16:33:50 insert netbeams.ysi 314ms
Sat Sep 12 16:33:52 done allocating datafile persistence/data/netbeams.2, size: 268435456, took 8.476 secs
Sat Sep 12 16:33:50 insert netbeams.ysi 2084ms
Sat Sep 12 16:33:52 insert netbeams.ysi 0ms
Sat Sep 12 16:33:52 insert netbeams.ysi 0ms
Sat Sep 12 16:33:52 insert netbeams.ysi 0ms
Sat Sep 12 16:33:52 insert netbeams.ysi 0ms
